Product Title,Product Type,Variant Title,SKU,Image URL,Location ID,Location Name,Available,On Hand,Threshold,Incoming,Incoming Date
LXT-Glissade,CF Aero,Forged Carbon Weave,GLSASC-FCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/10554474-EE4F-426A-81DB-61488C01A8F3.jpg?v=1649007498,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,5,10,4/10/2025
LXT-Glissade,CF Aero,Forged Carbon Weave,GLSASC-FCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/10554474-EE4F-426A-81DB-61488C01A8F3.jpg?v=1649007498,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
LXT-Glissade,CF Aero,Standard Weave,GLSASC-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/10554474-EE4F-426A-81DB-61488C01A8F3.jpg?v=1649007498,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,5,,
LXT-Glissade,CF Aero,Standard Weave,GLSASC-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/10554474-EE4F-426A-81DB-61488C01A8F3.jpg?v=1649007498,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
Revugu - Adjustable Side Skirts,CF Aero,Piano Black,CT-REVUGU-SS-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005113_d0d12b91-682f-42db-8dd2-8ccf5bfad169.jpg?v=1649634701,gid://shopify/Location/68455891180,El Monte - Warehouse,2,2,5,,
Revugu - Adjustable Side Skirts,CF Aero,Piano Black,CT-REVUGU-SS-1,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005113_d0d12b91-682f-42db-8dd2-8ccf5bfad169.jpg?v=1649634701,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
Revugu - Adjustable Side Skirts,CF Aero,Standard Carbon Fiber,CT-REVUGU-SS-CF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005113_d0d12b91-682f-42db-8dd2-8ccf5bfad169.jpg?v=1649634701,gid://shopify/Location/68455891180,El Monte - Warehouse,6,6,5,,
Revugu - Adjustable Side Skirts,CF Aero,Standard Carbon Fiber,CT-REVUGU-SS-CF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005113_d0d12b91-682f-42db-8dd2-8ccf5bfad169.jpg?v=1649634701,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
Revugu - Front Lip Extension,CF Aero,Piano Black,REV14F-EXT-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005106_087824d6-267d-432c-888b-774b149c0946.jpg?v=1649007541,gid://shopify/Location/68455891180,El Monte - Warehouse,2,3,5,,
Revugu - Front Lip Extension,CF Aero,Piano Black,REV14F-EXT-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005106_087824d6-267d-432c-888b-774b149c0946.jpg?v=1649007541,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
Revugu - Front Lip Extension,CF Aero,Standard Carbon Fiber,REV14F-EXT-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005142.jpg?v=1649007541,gid://shopify/Location/68455891180,El Monte - Warehouse,5,5,5,,
Revugu - Front Lip Extension,CF Aero,Standard Carbon Fiber,REV14F-EXT-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005142.jpg?v=1649007541,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
AngelWings,CF Aero,Piano Black,ANGWNG-BK-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004729_61b9a0aa-837f-40d7-9487-c0902e20ddf1.jpg?v=1649007655,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,5,10,4/10/2025
AngelWings,CF Aero,Piano Black,ANGWNG-BK-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004729_61b9a0aa-837f-40d7-9487-c0902e20ddf1.jpg?v=1649007655,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
AngelWings,CF Aero,Forged Carbon Weave,ANGWNG-FCF-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004729_61b9a0aa-837f-40d7-9487-c0902e20ddf1.jpg?v=1649007655,gid://shopify/Location/68455891180,El Monte - Warehouse,1,1,5,,
AngelWings,CF Aero,Forged Carbon Weave,ANGWNG-FCF-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004729_61b9a0aa-837f-40d7-9487-c0902e20ddf1.jpg?v=1649007655,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
AngelWings,CF Aero,Standard Weave,ANGWNG-3KCF-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004735.jpg?v=1649007655,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,5,,
AngelWings,CF Aero,Standard Weave,ANGWNG-3KCF-XTI,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004735.jpg?v=1649007655,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
XTI Deflector,CF Aero,Forged Carbon Weave,XTIDFT142-FCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004725.jpg?v=1649007682,gid://shopify/Location/68455891180,El Monte - Warehouse,-1,-1,5,,
XTI Deflector,CF Aero,Forged Carbon Weave,XTIDFT142-FCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0004725.jpg?v=1649007682,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
XTI Deflector,CF Aero,Standard Weave,XTIDFT142-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/CFWEAVEFOZLIFE2-1-of-3.jpg?v=1649007682,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,5,,
XTI Deflector,CF Aero,Standard Weave,XTIDFT142-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/CFWEAVEFOZLIFE2-1-of-3.jpg?v=1649007682,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Wrinkle Red,AS193-F24T-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Wrinkle Red,AS193-F24T-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-3,-1,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Wrinkle Black,AS193-F24T-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,183,184,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Wrinkle Black,AS193-F24T-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-11,-1,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Anodized Silver,AS193-F24T-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_4294.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,42,42,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2019+ Ascent/Outback/Legacy / Anodized Silver,AS193-F24T-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_4294.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-1,-1,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2015+ STi / Wrinkle Red,AS151-EJ-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,19,20,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2015+ STi / Wrinkle Red,AS151-EJ-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-2,0,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2015+ STi / Wrinkle Black,AS151-EJ-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,45,45,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2015+ STi / Wrinkle Black,AS151-EJ-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,1,1,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Wrinkle Red,AS193-F24T-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,4,4,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Wrinkle Red,AS193-F24T-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshields_page_1.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,2,2,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Wrinkle Black,AS193-F24T-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,185,185,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Wrinkle Black,AS193-F24T-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/airshield_banner_2.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-1,-1,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Anodized Silver,AS193-F24T-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_4294.jpg?v=1684954544,gid://shopify/Location/68455891180,El Monte - Warehouse,44,44,50,,
"AirShields - STI, Ascent, Outback, Legacy, WRX (VB)",Engine Dress-up,2022+ WRX / Anodized Silver,AS193-F24T-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_4294.jpg?v=1684954544,gid://shopify/Location/71820017900,Whittier - Warehouse,-1,-1,50,,
SmartFlow Shroud,Engine Dress-up,White Hot,SFS151-WT,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1.jpg?v=1684955653,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,20,,
SmartFlow Shroud,Engine Dress-up,White Hot,SFS151-WT,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1.jpg?v=1684955653,gid://shopify/Location/71820017900,Whittier - Warehouse,2,2,20,,
SmartFlow Shroud,Engine Dress-up,Neon Yellow,SFS151-NY,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/ATK_5814.jpg?v=1684955653,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,20,,
SmartFlow Shroud,Engine Dress-up,Neon Yellow,SFS151-NY,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/ATK_5814.jpg?v=1684955653,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,20,,
SmartFlow Shroud,Engine Dress-up,Wrinkle Red,SFS151-WR,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/red_smartflow_shroud.jpg?v=1684955653,gid://shopify/Location/68455891180,El Monte - Warehouse,35,38,20,,
SmartFlow Shroud,Engine Dress-up,Wrinkle Red,SFS151-WR,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/red_smartflow_shroud.jpg?v=1684955653,gid://shopify/Location/71820017900,Whittier - Warehouse,-3,0,20,,
SmartFlow Shroud,Engine Dress-up,Wrinkle Black,SFS151-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1.jpg?v=1684955653,gid://shopify/Location/68455891180,El Monte - Warehouse,19,19,20,,
SmartFlow Shroud,Engine Dress-up,Wrinkle Black,SFS151-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1.jpg?v=1684955653,gid://shopify/Location/71820017900,Whittier - Warehouse,-2,0,20,,
SmartFlow Shroud,Engine Dress-up,Anodized Silver,SFS151-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/PhotoApr20_123450PM.jpg?v=1684955653,gid://shopify/Location/68455891180,El Monte - Warehouse,9,9,20,,
SmartFlow Shroud,Engine Dress-up,Anodized Silver,SFS151-SL,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/PhotoApr20_123450PM.jpg?v=1684955653,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,20,,
Revugu – Front Lip,CF Aero,Piano Black,REV14F-FL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005052-2-1024x1024.jpg?v=1649319652,gid://shopify/Location/68455891180,El Monte - Warehouse,-3,-2,5,,
Revugu – Front Lip,CF Aero,Piano Black,REV14F-FL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005052-2-1024x1024.jpg?v=1649319652,gid://shopify/Location/71820017900,Whittier - Warehouse,-1,0,5,,
Revugu – Front Lip,CF Aero,Standard Carbon Fiber,REV14F-FL-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005137-1.jpg?v=1649319653,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,5,,
Revugu – Front Lip,CF Aero,Standard Carbon Fiber,REV14F-FL-3KCF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/B0005137-1.jpg?v=1649319653,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2014-'18 Forester / Wrinkle Red,AS151-FA-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/DSC08508_232f9ba3-7fb1-459d-a321-0e3ddaddda0b.jpg?v=1684954183,gid://shopify/Location/68455891180,El Monte - Warehouse,5,6,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2014-'18 Forester / Wrinkle Red,AS151-FA-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/DSC08508_232f9ba3-7fb1-459d-a321-0e3ddaddda0b.jpg?v=1684954183,gid://shopify/Location/71820017900,Whittier - Warehouse,4,4,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2014-'18 Forester / Wrinkle Black,AS151-FA-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/MessagesImage_1538092252.jpg?v=1684954183,gid://shopify/Location/68455891180,El Monte - Warehouse,12,12,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2014-'18 Forester / Wrinkle Black,AS151-FA-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/MessagesImage_1538092252.jpg?v=1684954183,gid://shopify/Location/71820017900,Whittier - Warehouse,3,5,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2015-'21 WRX / Wrinkle Red,AS151-FA-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/DSC08508_232f9ba3-7fb1-459d-a321-0e3ddaddda0b.jpg?v=1684954183,gid://shopify/Location/68455891180,El Monte - Warehouse,5,5,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2015-'21 WRX / Wrinkle Red,AS151-FA-RD,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/DSC08508_232f9ba3-7fb1-459d-a321-0e3ddaddda0b.jpg?v=1684954183,gid://shopify/Location/71820017900,Whittier - Warehouse,4,4,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2015-'21 WRX / Wrinkle Black,AS151-FA-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/MessagesImage_1538092252.jpg?v=1684954183,gid://shopify/Location/68455891180,El Monte - Warehouse,12,12,50,,
"AirShields - Forester, WRX (VA)",Engine Dress-up,2015-'21 WRX / Wrinkle Black,AS151-FA-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/MessagesImage_1538092252.jpg?v=1684954183,gid://shopify/Location/71820017900,Whittier - Warehouse,5,5,50,,
STI Fender Vent,CF Aero,Default Title,FVKWRX-CF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_7286.jpg?v=1650492182,gid://shopify/Location/68455891180,El Monte - Warehouse,8,8,5,,
STI Fender Vent,CF Aero,Default Title,FVKWRX-CF,https://cdn.shopify.com/s/files/1/0636/1976/0364/products/IMG_7286.jpg?v=1650492182,gid://shopify/Location/71820017900,Whittier - Warehouse,0,0,5,,
CVT Sport Shifter Kit,Shift Knobs,2012-16' Impreza,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,3,3,40,,
CVT Sport Shifter Kit,Shift Knobs,2012-16' Impreza,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,17,17,40,,
CVT Sport Shifter Kit,Shift Knobs,2017+ Impreza,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,40,,
CVT Sport Shifter Kit,Shift Knobs,2017+ Impreza,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,11,11,40,,
CVT Sport Shifter Kit,Shift Knobs,2013-17' Crosstrek,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,4,4,40,,
CVT Sport Shifter Kit,Shift Knobs,2013-17' Crosstrek,CTCVS-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,17,17,40,,
CVT Sport Shifter Kit,Shift Knobs,2018+ Crosstrek,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/68455891180,El Monte - Warehouse,0,0,40,,
CVT Sport Shifter Kit,Shift Knobs,2018+ Crosstrek,CTCVL-BK,https://cdn.shopify.com/s/files/1/0636/1976/0364/files/1L9A3855.jpg?v=1682735571,gid://shopify/Location/71820017900,Whittier - Warehouse,12,12,40,,
